ISIN/Cusip,Fund Name,Fund Number ,Transaction Type,Purchases,Sales,Holdings,Price per share,Trade Date,Currency,Entity,Comments
US90184L1026,Fund 5,Fund 5,Beginning Holdings,,,900.00,,2/5/2015,USD,Client 1-1,
US90184L1026,Fund 5,Fund 5,Purchase,100.00,,,50.64,4/2/2015,USD,Client 1-1,
US90184L1026,Fund 5,Fund 5,Sale,,100.00,,37.50,5/19/2015,USD,Client 1-1,
US90184L1026,Fund 5,Fund 5,Sale,,900.00,,36.46,5/27/2015,USD,Client 1-1,
US90184L1026,Fund 5,Fund 5,End Holdings,,,0.00,,10/30/2015,USD,Client 1-1,
US90184L1026,Fund 63,Fund 63,Beginning Holdings,,,"1,300.00",,2/5/2015,USD,Client 1-2,
US90184L1026,Fund 63,Fund 63,Sale,,"1,300.00",,46.66,3/17/2015,USD,Client 1-2,
US90184L1026,Fund 63,Fund 63,Purchase,"1,500.00",,,46.97,3/19/2015,USD,Client 1-2,
US90184L1026,Fund 63,Fund 63,Purchase,500.00,,,36.67,5/29/2015,USD,Client 1-2,
US90184L1026,Fund 63,Fund 63,End Holdings,,,"2,000.00",,10/30/2015,USD,Client 1-2,
US90184L1026,Fund 64,Fund 64,Beginning Holdings,,,"2,315.00",,2/5/2015,USD,Client 1-2,
US90184L1026,Fund 64,Fund 64,Purchase,600.00,,,36.67,5/29/2015,USD,Client 1-2,
US90184L1026,Fund 64,Fund 64,Purchase,"2,300.00",,,27.79,8/31/2015,USD,Client 1-2,
US90184L1026,Fund 64,Fund 64,End Holdings,,,"5,215.00",,10/30/2015,USD,Client 1-2,
US90184L1026,Fund 44,Fund 44,Beginning Holdings,,,100.00,,2/5/2015,USD,Client 1-2,
US90184L1026,Fund 44,Fund 44,Purchase,"1,900.00",,,46.00,2/6/2015,USD,Client 1-2,
US90184L1026,Fund 44,Fund 44,Sale,,"2,000.00",,46.80,2/10/2015,USD,Client 1-2,
US90184L1026,Fund 44,Fund 44,End Holdings,,,0.00,,10/30/2015,USD,Client 1-2,
US90184L1026,Fund 43,Fund 43,Beginning Holdings,,,200.00,,2/5/2015,USD,Client 1-2,
US90184L1026,Fund 43,Fund 43,Purchase,"3,000.00",,,46.00,2/6/2015,USD,Client 1-2,
US90184L1026,Fund 43,Fund 43,Sale,,"3,200.00",,46.80,2/10/2015,USD,Client 1-2,
US90184L1026,Fund 43,Fund 43,End Holdings,,,0.00,,10/30/2015,USD,Client 1-2,
US90184L1026,Fund 21,Fund 21,Beginning Holdings,,,"1,444.00",,2/5/2015,USD,Client 1-2,
US90184L1026,Fund 21,Fund 21,Purchase,45.00,,,49.07,2/27/2015,USD,Client 1-2,
US90184L1026,Fund 21,Fund 21,Purchase,409.00,,,36.58,5/29/2015,USD,Client 1-2,
US90184L1026,Fund 21,Fund 21,Sale,,305.00,,31.24,7/30/2015,USD,Client 1-2,
US90184L1026,Fund 21,Fund 21,Purchase,21.00,,,27.70,8/31/2015,USD,Client 1-2,
US90184L1026,Fund 21,Fund 21,Sale,,206.00,,27.55,9/2/2015,USD,Client 1-2,
US90184L1026,Fund 21,Fund 21,End Holdings,,,"1,408.00",,10/30/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Beginning Holdings,,,"7,091.00",,2/5/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Sale,,601.00,,48.88,2/23/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Purchase,237.00,,,49.07,2/27/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Sale,,195.00,,46.15,3/16/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Sale,,331.00,,51.13,4/14/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Purchase,136.00,,,52.47,4/27/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Purchase,"3,394.00",,,37.85,5/5/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Sale,,468.00,,37.18,5/7/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Purchase,"2,484.00",,,36.58,5/29/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Sale,,"1,584.00",,36.63,6/8/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Purchase,446.00,,,35.31,7/8/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Purchase,794.00,,,34.70,7/9/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Purchase,372.00,,,36.34,7/16/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Purchase,372.00,,,36.29,7/17/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Sale,,"4,118.00",,36.17,7/21/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Sale,,"1,092.00",,26.19,8/27/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Purchase,85.00,,,27.70,8/31/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,Sale,,806.00,,27.15,9/22/2015,USD,Client 1-2,
US90184L1026,Fund 22,Fund 22,End Holdings,,,"6,216.00",,10/30/2015,USD,Client 1-2,
US90184L1026,Fund 158,Fund 158,Beginning Holdings,,,"26,211.00",41.26,2/5/2015,USD,Client 2,
US90184L1026,Fund 158,Fund 158,Sale,,"2,000.00",,48.01,2/6/2015,USD,Client 2,
US90184L1026,Fund 158,Fund 158,Purchase,"1,900.00",,,48.47,2/13/2015,USD,Client 2,
US90184L1026,Fund 158,Fund 158,Sale,,"1,668.00",,46.43,3/16/2015,USD,Client 2,
US90184L1026,Fund 158,Fund 158,Purchase,"1,703.00",,,47.93,3/19/2015,USD,Client 2,
US90184L1026,Fund 158,Fund 158,Sale,,"1,503.00",,51.20,4/14/2015,USD,Client 2,
US90184L1026,Fund 158,Fund 158,Purchase,"3,403.00",,,37.10,5/15/2015,USD,Client 2,
US90184L1026,Fund 158,Fund 158,Purchase,"2,097.00",,,36.67,5/29/2015,USD,Client 2,
US90184L1026,Fund 158,Fund 158,Purchase,"2,634.00",,,26.94,9/30/2015,USD,Client 2,
US90184L1026,Fund 158,Fund 158,Sale,,"2,552.00",,28.46,10/30/2015,USD,Client 2,
US90184L1026,Fund 158,Fund 158,End Holdings,,,"30,225.00",29.20,10/30/2015,USD,Client 2,
US90184L1026,Fund 116,Fund 116,Beginning Holdings,,,"62,600.00",41.26,2/5/2015,USD,Client 2,
US90184L1026,Fund 116,Fund 116,Purchase,"17,000.00",,,36.43,6/9/2015,USD,Client 2,
US90184L1026,Fund 116,Fund 116,Purchase,"15,600.00",,,36.10,7/16/2015,USD,Client 2,
US90184L1026,Fund 116,Fund 116,End Holdings,,,"95,200.00",29.20,10/30/2015,USD,Client 2,
US90184L1026,Fund 135,Fund 135,Beginning Holdings,,,"6,872.00",41.26,2/5/2015,USD,Client 2,
US90184L1026,Fund 135,Fund 135,Purchase,"1,476.00",,,36.67,5/29/2015,USD,Client 2,
US90184L1026,Fund 135,Fund 135,Purchase,"1,065.00",,,35.17,6/24/2015,USD,Client 2,
US90184L1026,Fund 135,Fund 135,Purchase,"1,248.00",,,28.75,10/12/2015,USD,Client 2,
US90184L1026,Fund 135,Fund 135,End Holdings,,,"10,661.00",29.20,10/30/2015,USD,Client 2,
US90184L1026,Fund 139,Fund 139,Beginning Holdings,,,"77,669.00",41.26,2/5/2015,USD,Client 2,
US90184L1026,Fund 139,Fund 139,Purchase,"6,806.00",,,46.43,3/16/2015,USD,Client 2,
US90184L1026,Fund 139,Fund 139,Purchase,"26,237.00",,,36.67,5/29/2015,USD,Client 2,
US90184L1026,Fund 139,Fund 139,Purchase,"9,159.00",,,29.15,10/22/2015,USD,Client 2,
US90184L1026,Fund 139,Fund 139,End Holdings,,,"119,871.00",29.20,10/30/2015,USD,Client 2,
US90184L1026,Fund 138,Fund 138,Beginning Holdings,,,"58,462.00",41.26,2/5/2015,USD,Client 2,
US90184L1026,Fund 138,Fund 138,Sale,,"3,500.00",,48.08,2/27/2015,USD,Client 2,
US90184L1026,Fund 138,Fund 138,Sale,,"3,305.00",,50.08,3/31/2015,USD,Client 2,
US90184L1026,Fund 138,Fund 138,Purchase,"14,675.00",,,37.10,5/15/2015,USD,Client 2,
US90184L1026,Fund 138,Fund 138,Purchase,"4,683.00",,,34.36,7/9/2015,USD,Client 2,
US90184L1026,Fund 138,Fund 138,Sale,,"4,698.00",,34.91,7/10/2015,USD,Client 2,
US90184L1026,Fund 138,Fund 138,Purchase,"5,250.00",,,31.34,10/27/2015,USD,Client 2,
US90184L1026,Fund 138,Fund 138,Sale,,"5,944.00",,28.46,10/30/2015,USD,Client 2,
US90184L1026,Fund 138,Fund 138,End Holdings,,,"65,623.00",29.20,10/30/2015,USD,Client 2,
US90184L1026,Fund 111,Fund 111,Beginning Holdings,,,"18,600.00",41.26,2/5/2015,USD,Client 2,
US90184L1026,Fund 111,Fund 111,Purchase,"3,500.00",,,48.78,2/24/2015,USD,Client 2,
US90184L1026,Fund 111,Fund 111,Purchase,"6,300.00",,,36.55,5/26/2015,USD,Client 2,
US90184L1026,Fund 111,Fund 111,End Holdings,,,"28,400.00",29.20,10/30/2015,USD,Client 2,
US90184L1026,Fund 112,Fund 112,Beginning Holdings,,,"21,137.00",41.26,2/5/2015,USD,Client 2,
US90184L1026,Fund 112,Fund 112,Purchase,700.00,,,36.67,5/29/2015,USD,Client 2,
US90184L1026,Fund 112,Fund 112,Purchase,700.00,,,36.67,5/29/2015,USD,Client 2,
US90184L1026,Fund 112,Fund 112,Purchase,34.00,,,36.67,5/29/2015,USD,Client 2,
US90184L1026,Fund 112,Fund 112,Purchase,34.00,,,36.67,5/29/2015,USD,Client 2,
US90184L1026,Fund 112,Fund 112,Purchase,265.00,,,36.67,5/29/2015,USD,Client 2,
US90184L1026,Fund 112,Fund 112,Purchase,"5,606.00",,,36.67,5/29/2015,USD,Client 2,
US90184L1026,Fund 112,Fund 112,End Holdings,,,"28,476.00",29.20,10/30/2015,USD,Client 2,
US90184L1026,Fund 91,Fund 91,Beginning Holdings,,,"9,500.00",41.26,2/5/2015,USD,Client 2,
US90184L1026,Fund 91,Fund 91,Purchase,"1,600.00",,,47.63,2/6/2015,USD,Client 2,
US90184L1026,Fund 91,Fund 91,Purchase,"3,600.00",,,36.67,5/29/2015,USD,Client 2,
US90184L1026,Fund 91,Fund 91,Purchase,"3,200.00",,,27.79,8/31/2015,USD,Client 2,
US90184L1026,Fund 91,Fund 91,End Holdings,,,"17,900.00",29.20,10/30/2015,USD,Client 2,
US90184L1026,Fund 102,Fund 102,Beginning Holdings,,,"2,421.00",41.26,2/5/2015,USD,Client 2,
US90184L1026,Fund 102,Fund 102,Purchase,774.00,,,36.67,5/29/2015,USD,Client 2,
US90184L1026,Fund 102,Fund 102,End Holdings,,,"3,195.00",29.20,10/30/2015,USD,Client 2,
US90184L1026,Fund 103,Fund 103,Beginning Holdings,,,0.00,,2/5/2015,USD,Client 2,
US90184L1026,Fund 103,Fund 103,Purchase,"3,561.00",,,36.67,5/29/2015,USD,Client 2,
US90184L1026,Fund 103,Fund 103,End Holdings,,,"3,561.00",29.20,10/30/2015,USD,Client 2,
US90184L1026,Fund 123,Fund 123,Beginning Holdings,,,0.00,,2/5/2015,USD,Client 2,
US90184L1026,Fund 123,Fund 123,Purchase,556.00,,,37.50,5/19/2015,USD,Client 2,
US90184L1026,Fund 123,Fund 123,Sale,,556.00,,34.20,6/29/2015,USD,Client 2,
US90184L1026,Fund 123,Fund 123,End Holdings,,,0.00,,10/30/2015,USD,Client 2,
US90184L1026,Fund 95,Fund 95,Beginning Holdings,,,"7,700.00",41.26,2/5/2015,USD,Client 2,
US90184L1026,Fund 95,Fund 95,Purchase,800.00,,,52.35,4/10/2015,USD,Client 2,
US90184L1026,Fund 95,Fund 95,Purchase,"1,200.00",,,36.67,5/29/2015,USD,Client 2,
US90184L1026,Fund 95,Fund 95,Sale,,"1,600.00",,27.71,9/10/2015,USD,Client 2,
US90184L1026,Fund 95,Fund 95,End Holdings,,,"8,100.00",29.20,10/30/2015,USD,Client 2,
